text,intent
Cancel the order I placed for my recent order today,cancel_order
"Please, Please cancel my order for my recent order right now",cancel_order
"Hi, Please cancel my order for order 123 as soon as possible",cancel_order
"Hi, I want to cancel my order if possible",cancel_order
"Hello, Cancel the order I placed for my last purchase if possible",cancel_order
"Please, I need to cancel an order for order 123",cancel_order
"Hey, I want to cancel my order today",cancel_order
I want to cancel my order for my recent order please,cancel_order
Please cancel my order for my last purchase right now,cancel_order
Cancel the order I placed for order 123 if possible,cancel_order
"Hello, I need to cancel an order for my recent order",cancel_order
"Hello, I want to cancel my order for my last purchase if possible",cancel_order
"Kindly, Stop my order from being delivered right now",cancel_order
"Hi, I need to cancel an order for order 123 if possible",cancel_order
"Kindly, I want to cancel my order for the order I placed yesterday today",cancel_order
"Hello, Stop my order from being delivered please",cancel_order
"Hey, Please cancel my order for the order I placed yesterday if possible",cancel_order
"Hello, Please cancel my order for my last purchase as soon as possible",cancel_order
I need to cancel an order please,cancel_order
"Kindly, I need to cancel an order for my recent order please",cancel_order
Stop my order from being delivered for my recent order as soon as possible,cancel_order
"Hi, I need to cancel an order for the order I placed yesterday right now",cancel_order
"Hi, I want to cancel my order for my recent order right now",cancel_order
"Hey, Please cancel my order for the order I placed yesterday today",cancel_order
Cancel the order I placed if possible,cancel_order
"Please, I need to cancel an order for order 123 if possible",cancel_order
"Kindly, I need to cancel an order for my recent order today",cancel_order
"Kindly, I want to cancel my order for my recent order right now",cancel_order
"Kindly, Stop my order from being delivered for my recent order today",cancel_order
"Hello, Stop my order from being delivered for order 123 if possible",cancel_order
"Hey, I need to cancel an order for the order I placed yesterday right now",cancel_order
"Kindly, Stop my order from being delivered if possible",cancel_order
"Hey, I need to cancel an order for order 123 if possible",cancel_order
"Hello, I want to cancel my order for the order I placed yesterday right now",cancel_order
"Hey, I want to cancel my order please",cancel_order
"Hi, I need to cancel an order for my recent order right now",cancel_order
"Hello, Please cancel my order for the order I placed yesterday right now",cancel_order
"Hi, Stop my order from being delivered for the order I placed yesterday",cancel_order
"Hello, I need to cancel an order please",cancel_order
"Hello, I need to cancel an order for my recent order please",cancel_order
"Hello, Please cancel my order for the order I placed yesterday please",cancel_order
"Kindly, I want to cancel my order for order 123 as soon as possible",cancel_order
"Hi, Please cancel my order for order 123 if possible",cancel_order
"Hey, Please cancel my order for the order I placed yesterday as soon as possible",cancel_order
"Hello, Stop my order from being delivered for my recent order right now",cancel_order
"Hello, Cancel the order I placed for the order I placed yesterday right now",cancel_order
"Hello, I need to cancel an order for my last purchase today",cancel_order
"Please, Stop my order from being delivered for my recent order right now",cancel_order
"Hi, I want to cancel my order for order 123 as soon as possible",cancel_order
Stop my order from being delivered for my recent order if possible,cancel_order
"Please, Please cancel my order for my recent order if possible",cancel_order
"Hey, Cancel the order I placed for the order I placed yesterday",cancel_order
"Hey, Cancel the order I placed for my recent order if possible",cancel_order
"Kindly, Please cancel my order for my last purchase please",cancel_order
"Hi, I want to cancel my order for my last purchase today",cancel_order
"Kindly, Stop my order from being delivered for my recent order if possible",cancel_order
"Hey, Cancel the order I placed for order 123 if possible",cancel_order
"Hey, I want to cancel my order for order 123 right now",cancel_order
